YEAR,MONTH,DATE,INCOME,CAT_NEW,CAT_NEW_TOT,CAT_NEW_INCM_PCENT,CAT_NEW_BENCHMARK
2020,7,2020-07-01,13218.79,Need,9364.7,70.84385182,50
2020,7,2020-07-16,13218.79,Investment,200,1.512997786,20
2020,7,2020-07-02,13218.79,Desire,4598.86,34.79032498,30
2020,6,2020-06-08,8068.83,Need,7149.73,88.60925314,50
2020,6,2020-06-17,8068.83,Investment,200,2.478674108,20
2020,6,2020-06-30,8068.83,Desire,1768.45,21.91705613,30
2020,5,2020-05-12,10760.91,Need,7574.92,70.39293145,50
2020,5,2020-05-16,10760.91,Investment,200,1.858578875,20
2020,5,2020-05-30,10760.91,Desire,6280.45,58.36355847,30
2020,4,2020-04-08,24528.98,Need,17859.83,72.81114013,50
2020,4,2020-04-17,24528.98,Investment,200,0.815362074,20
2020,4,2020-04-30,24528.98,Desire,2595.43,10.58107594,30
2020,3,2020-03-02,44410.36,Need,44781.45,100.8355933,50
2020,3,2020-03-16,44410.36,Investment,200,0.45034537,20
2020,3,2020-03-10,44410.36,Desire,2207.66,4.971047296,30
2020,2,2020-02-01,8157.21,Need,5731.9,70.26789797,50
2020,2,2020-02-16,8157.21,Investment,200,2.451818698,20
2020,2,2020-02-01,8157.21,Desire,6381.31,78.22907587,30
2020,1,2020-01-10,11570.92,Need,1541.44,13.32167192,50
2020,1,2020-01-16,11570.92,Investment,200,1.728471029,20
2020,1,2020-01-23,11570.92,Desire,4374.87,37.80918026,30
2019,12,2019-12-02,9217.77,Need,6569.77,71.27287836,50
2019,12,2019-12-16,9217.77,Investment,200,2.169722178,20
2019,12,2019-12-10,9217.77,Desire,3915.1,42.47339649,30
2019,11,2019-11-02,15395.47,Need,9513.56,61.79454086,50
2019,11,2019-11-16,15395.47,Investment,200,1.299083432,20
2019,11,2019-11-16,15395.47,Desire,948.33,6.159798954,30
2019,10,2019-10-06,9290.04,Need,5691.75,61.26722813,50
2019,10,2019-10-16,9290.04,Investment,430,4.628613009,20
2019,10,2019-10-18,9290.04,Desire,5934.68,63.88217919,30
2019,9,2019-09-02,11849.86,Need,7830.33,66.07951486,50
2019,9,2019-09-16,11849.86,Investment,430,3.628734854,20
2019,9,2019-09-03,11849.86,Desire,8039.05,67.84088588,30
2019,8,2019-08-01,11394.65,Need,7361.58,64.60558244,50
2019,8,2019-08-16,11394.65,Investment,430,3.773700816,20
2019,8,2019-08-22,11394.65,Desire,5404.24,47.42787185,30
2019,7,2019-07-01,7783.18,Need,8152.12,104.7402219,50
2019,7,2019-07-01,7783.18,Investment,10430,134.0069226,20
2019,7,2019-07-02,7783.18,Desire,1761.24,22.62879697,30
2019,6,2019-06-04,59160.3,Need,6379.46,10.78334626,50
2019,6,2019-06-01,59160.3,Investment,50430,85.24297544,20
2019,6,2019-06-01,59160.3,Desire,968.49,1.637060664,30
2019,5,2019-05-01,7072.1,Need,5997.61,84.80663452,50
2019,5,2019-05-01,7072.1,Investment,60430,854.4845237,20
2019,5,2019-05-08,7072.1,Desire,4910.67,69.43722515,30
2019,4,2019-04-01,36185.65,Need,6772.9,18.71708813,50
2019,4,2019-04-16,36185.65,Investment,430,1.188316363,20
2019,4,2019-04-01,36185.65,Desire,6109.74,16.88442794,30
2019,3,2019-03-01,33860.19,Need,8454.55,24.96899752,50
2019,3,2019-03-14,33860.19,Investment,25200.42,74.42492201,20
2019,3,2019-03-04,33860.19,Desire,2172.84,6.417093348,30
2019,2,2019-02-04,8229.01,Need,5728.05,69.60800874,50
2019,2,2019-02-16,8229.01,Investment,430,5.225415937,20
2019,2,2019-02-03,8229.01,Desire,1178.83,14.32529551,30
2019,1,2019-01-03,14402.89,Need,4566.13,31.70287352,50
2019,1,2019-01-16,14402.89,Investment,500,3.471525506,20
2019,1,2019-01-22,14402.89,Desire,9676.3,67.18304451,30
2018,12,2018-12-03,7558.02,Need,6858.88,90.7496937,50
2018,12,2018-12-16,7558.02,Investment,500,6.615489242,20
2018,12,2018-12-18,7558.02,Desire,3166.63,41.8976134,30
2018,11,2018-11-01,7125.5,Need,5471.5,76.78759385,50
2018,11,2018-11-16,7125.5,Investment,500,7.017051435,20
2018,11,2018-11-10,7125.5,Desire,4916.64,69.00063153,30
2018,10,2018-10-02,6801.5,Need,5791.3,85.14739396,50
2018,10,2018-10-16,6801.5,Investment,500,7.351319562,20
2018,10,2018-10-07,6801.5,Desire,2979.52,43.80680732,30
2018,9,2018-09-03,7771.21,Need,6003.91,77.25836774,50
2018,9,2018-09-16,7771.21,Investment,500,6.434004486,20
2018,9,2018-09-28,7771.21,Desire,3370.38,43.37008008,30
2018,8,2018-08-13,7667.51,Need,-3511.19,-45.79309319,50
2018,8,2018-08-16,7667.51,Investment,500,6.521021818,20
2018,8,2018-08-13,7667.51,Desire,5947.96,77.57355387,30
