YEAR,MONTH,DATE,INCOME,CATEGORY,CATEGORY_COUNT,CAT_TOT,CAT_INCM_PCENT,CAT_NEW,CAT_NEW_TOT,CAT_NEW_INCM_PCENT,CAT_OLD_BENCHMARK
2020,7,1/07/2020,13218.79,Auto & transport,5,12.5,0.094562362,Need,9364.7,70.84385182,1
2020,6,8/06/2020,8068.83,Auto & transport,8,165.56,2.051846426,Need,7149.73,88.60925314,1
2020,5,12/05/2020,10760.91,Auto & transport,4,62.52,0.580991756,Need,7574.92,70.39293145,1
2020,3,2/03/2020,44410.36,Auto & transport,8,122.54,0.275926608,Need,44781.45,100.8355933,1
2020,2,1/02/2020,8157.21,Auto & transport,19,376.86,4.619961972,Need,5731.9,70.26789797,1
2020,1,10/01/2020,11570.92,Auto & transport,3,51.03,0.441019383,Need,1541.44,13.32167192,1
2019,12,2/12/2019,9217.77,Auto & transport,17,228.35,2.477280297,Need,6569.77,71.27287836,1
2019,11,2/11/2019,15395.47,Auto & transport,16,214.38,1.39248753,Need,9513.56,61.79454086,1
2019,10,6/10/2019,9290.04,Auto & transport,13,313.16,3.370921977,Need,5691.75,61.26722813,1
2019,9,2/09/2019,11849.86,Auto & transport,19,237.62,2.005255758,Need,7830.33,66.07951486,1
2019,8,1/08/2019,11394.65,Auto & transport,29,778.56,6.832680249,Need,7361.58,64.60558244,1
2019,7,1/07/2019,7783.18,Auto & transport,31,475.97,6.115366727,Need,8152.12,104.7402219,1
2019,6,4/06/2019,59160.3,Auto & transport,24,374.49,0.63300896,Need,6379.46,10.78334626,1
2019,5,1/05/2019,7072.1,Auto & transport,28,416.86,5.894430226,Need,5997.61,84.80663452,1
2019,4,1/04/2019,36185.65,Auto & transport,26,455.98,1.26011278,Need,6772.9,18.71708813,1
2019,3,1/03/2019,33860.19,Auto & transport,32,1182.32,3.491770129,Need,8454.55,24.96899752,1
2019,2,4/02/2019,8229.01,Auto & transport,21,515.11,6.259683729,Need,5728.05,69.60800874,1
2019,1,3/01/2019,14402.89,Auto & transport,15,222.78,1.546772905,Need,4566.13,31.70287352,1
2018,12,3/12/2018,7558.02,Auto & transport,19,396.2,5.242113675,Need,6858.88,90.7496937,1
2018,11,1/11/2018,7125.5,Auto & transport,30,575.5,8.076626202,Need,5471.5,76.78759385,1
2018,10,2/10/2018,6801.5,Auto & transport,13,238.56,3.507461589,Need,5791.3,85.14739396,1
2018,9,3/09/2018,7771.21,Auto & transport,22,483.24,6.218336655,Need,6003.91,77.25836774,1
2018,8,13/08/2018,7667.51,Auto & transport,17,376.72,4.913198679,Need,-3511.19,-45.79309319,1
2020,7,2/07/2020,13218.79,Bottleshops,30,1200,4.607078258,Desire,4598.86,34.79032498,1
2020,6,30/06/2020,8068.83,Bottleshops,20,1000,12.39337054,Desire,1768.45,21.91705613,1
2020,5,30/05/2020,10760.91,Bottleshops,15,500,4.646447187,Desire,6280.45,58.36355847,1
2020,4,30/04/2020,24528.98,Bottleshops,15,400,1.223043111,Desire,2595.43,10.58107594,1
2020,3,10/03/2020,44410.36,Bottleshops,1,39,0.087817347,Desire,2207.66,4.971047296,1
2020,1,23/01/2020,11570.92,Bottleshops,1,145,1.253141496,Desire,4374.87,37.80918026,1
2019,12,10/12/2019,9217.77,Bottleshops,2,84.74,0.919311287,Desire,3915.1,42.47339649,1
2019,11,16/11/2019,15395.47,Bottleshops,2,65.9,0.428047991,Desire,948.33,6.159798954,1
2019,10,18/10/2019,9290.04,Bottleshops,4,96.81,1.04208378,Desire,5934.68,63.88217919,1
2019,9,3/09/2019,11849.86,Bottleshops,3,72,0.607602115,Desire,8039.05,67.84088588,1
2019,8,22/08/2019,11394.65,Bottleshops,3,32,0.280833549,Desire,5404.24,47.42787185,1
2019,5,8/05/2019,7072.1,Bottleshops,1,23.8,0.336533703,Desire,4910.67,69.43722515,1
2019,3,4/03/2019,33860.19,Bottleshops,1,7.45,0.022002239,Desire,2172.84,6.417093348,1
2019,2,3/02/2019,8229.01,Bottleshops,3,69,0.838496976,Desire,1178.83,14.32529551,1
2019,1,22/01/2019,14402.89,Bottleshops,1,69.99,0.48594414,Desire,9676.3,67.18304451,1
2018,12,18/12/2018,7558.02,Bottleshops,2,69.9,0.924845396,Desire,3166.63,41.8976134,1
2018,11,10/11/2018,7125.5,Bottleshops,1,21,0.29471616,Desire,4916.64,69.00063153,1
2018,9,28/09/2018,7771.21,Bottleshops,2,49.5,0.636966444,Desire,3370.38,43.37008008,1
2020,7,1/07/2020,13218.79,Cash Out,5,3246.06,24.55640796,Desire,4598.86,34.79032498,1
2020,6,13/06/2020,8068.83,Cash Out,1,150,1.859005581,Desire,1768.45,21.91705613,1
2020,5,25/05/2020,10760.91,Cash Out,2,1150,10.68682853,Desire,6280.45,58.36355847,1
2020,4,7/04/2020,24528.98,Cash Out,2,1420,5.789070724,Desire,2595.43,10.58107594,1
2020,3,4/03/2020,44410.36,Cash Out,4,1681,3.785152834,Desire,2207.66,4.971047296,1
2020,2,1/02/2020,8157.21,Cash Out,8,1217,14.91931678,Desire,6381.31,78.22907587,1
2020,1,7/01/2020,11570.92,Cash Out,2,4000,34.56942058,Desire,4374.87,37.80918026,1
2019,12,21/12/2019,9217.77,Cash Out,2,1100,11.93347198,Desire,3915.1,42.47339649,1
2019,10,2/10/2019,9290.04,Cash Out,6,3781.45,40.70434573,Desire,5934.68,63.88217919,1
2019,9,14/09/2019,11849.86,Cash Out,6,3200.07,27.00512917,Desire,8039.05,67.84088588,1
2019,8,4/08/2019,11394.65,Cash Out,8,3125,27.42515128,Desire,5404.24,47.42787185,1
2019,7,2/07/2019,7783.18,Cash Out,2,1200,15.41786262,Desire,1761.24,22.62879697,1
2019,6,1/06/2019,59160.3,Cash Out,2,400,0.676129093,Desire,968.49,1.637060664,1
2019,5,5/05/2019,7072.1,Cash Out,3,650,9.191046507,Desire,4910.67,69.43722515,1
2019,4,1/04/2019,36185.65,Cash Out,4,5581.86,15.42561761,Desire,6109.74,16.88442794,1
2019,3,6/03/2019,33860.19,Cash Out,6,807.5,2.384806464,Desire,2172.84,6.417093348,1
2019,2,15/02/2019,8229.01,Cash Out,5,555,6.744432198,Desire,1178.83,14.32529551,1
2019,1,21/01/2019,14402.89,Cash Out,2,4480,31.10486854,Desire,9676.3,67.18304451,1
2018,12,9/12/2018,7558.02,Cash Out,4,640,8.46782623,Desire,3166.63,41.8976134,1
2018,11,1/11/2018,7125.5,Cash Out,3,450,6.315346291,Desire,4916.64,69.00063153,1
2018,10,7/10/2018,6801.5,Cash Out,5,2401.49,35.30824083,Desire,2979.52,43.80680732,1
2018,9,1/09/2018,7771.21,Cash Out,5,1210,15.57029086,Desire,3370.38,43.37008008,1
2018,8,13/08/2018,7667.51,Cash Out,4,1780,23.21483767,Desire,5947.96,77.57355387,1
2020,7,31/07/2020,13218.79,Chemists,1,85,0.643024059,Need,9364.7,70.84385182,1
2020,6,1/06/2020,8068.83,Chemists,2,30.44,0.377254199,Need,7149.73,88.60925314,1
2020,5,11/05/2020,10760.91,Chemists,3,208.94,1.941657351,Need,7574.92,70.39293145,1
2020,3,16/03/2020,44410.36,Chemists,3,73.95,0.166515201,Need,44781.45,100.8355933,1
2020,2,14/02/2020,8157.21,Chemists,1,75.6,0.926787468,Need,5731.9,70.26789797,1
2019,11,8/11/2019,15395.47,Chemists,9,425.4,2.763150459,Need,9513.56,61.79454086,1
2019,10,11/10/2019,9290.04,Chemists,2,52.89,0.5693194,Need,5691.75,61.26722813,1
2019,9,11/09/2019,11849.86,Chemists,1,30.98,0.261437688,Need,7830.33,66.07951486,1
2019,8,8/08/2019,11394.65,Chemists,3,189.47,1.662797892,Need,7361.58,64.60558244,1
2019,7,17/07/2019,7783.18,Chemists,4,152.96,1.965263556,Need,8152.12,104.7402219,1
2019,4,1/04/2019,36185.65,Chemists,3,67.37,0.186178775,Need,6772.9,18.71708813,1
2019,3,1/03/2019,33860.19,Chemists,1,6.99,0.020643712,Need,8454.55,24.96899752,1
2018,12,1/12/2018,7558.02,Chemists,1,25.97,0.343608511,Need,6858.88,90.7496937,1
2018,11,7/11/2018,7125.5,Chemists,3,51.19,0.718405726,Need,5471.5,76.78759385,1
2018,9,11/09/2018,7771.21,Chemists,1,50,0.643400449,Need,6003.91,77.25836774,1
2018,8,29/08/2018,7667.51,Chemists,1,10.98,0.143201639,Need,-3511.19,-45.79309319,1
2020,7,11/07/2020,13218.79,Education,2,22.75,0.172103498,Desire,4598.86,34.79032498,5
2020,6,1/06/2020,8068.83,Education,4,35.64,0.441699726,Desire,1768.45,21.91705613,5
2020,5,21/05/2020,10760.91,Education,1,4189,38.92793453,Desire,6280.45,58.36355847,5
2020,4,5/04/2020,24528.98,Education,4,794.95,3.240860403,Desire,2595.43,10.58107594,5
2020,3,5/03/2020,44410.36,Education,2,83.8,0.18869471,Desire,2207.66,4.971047296,5
2020,2,21/02/2020,8157.21,Education,2,4174.98,51.18147014,Desire,6381.31,78.22907587,5
2020,1,22/01/2020,11570.92,Education,1,24.22,0.209317842,Desire,4374.87,37.80918026,5
2019,11,1/11/2019,15395.47,Education,4,53.82,0.349583351,Desire,948.33,6.159798954,5
2019,10,13/10/2019,9290.04,Education,1,4.98,0.053605797,Desire,5934.68,63.88217919,5
2019,9,17/09/2019,11849.86,Education,2,4072,34.36327518,Desire,8039.05,67.84088588,5
2019,7,5/07/2019,7783.18,Education,5,60.2,0.773462775,Desire,1761.24,22.62879697,5
2019,6,10/06/2019,59160.3,Education,1,21.19,0.035817939,Desire,968.49,1.637060664,5
2019,5,8/05/2019,7072.1,Education,6,3869.24,54.71133044,Desire,4910.67,69.43722515,5
2019,4,14/04/2019,36185.65,Education,1,9,0.024871738,Desire,6109.74,16.88442794,5
2019,3,2/03/2019,33860.19,Education,2,99.67,0.294357474,Desire,2172.84,6.417093348,5
2019,2,2/02/2019,8229.01,Education,1,67.7,0.822699207,Desire,1178.83,14.32529551,5
2019,1,2/01/2019,14402.89,Education,2,3516.16,24.41287825,Desire,9676.3,67.18304451,5
2018,12,2/12/2018,7558.02,Education,1,67.26,0.889915613,Desire,3166.63,41.8976134,5
2018,11,2/11/2018,7125.5,Education,3,142.32,1.99733352,Desire,4916.64,69.00063153,5
2018,10,2/10/2018,6801.5,Education,3,94,1.382048078,Desire,2979.52,43.80680732,5
2018,9,2/09/2018,7771.21,Education,4,187.92,2.418156246,Desire,3370.38,43.37008008,5
2018,8,17/08/2018,7667.51,Education,2,3374.5,44.01037625,Desire,5947.96,77.57355387,5
2020,6,13/06/2020,8068.83,Entertainment,1,7.49,0.092826345,Desire,1768.45,21.91705613,3
2019,12,13/12/2019,9217.77,Entertainment,1,155.88,1.691081465,Desire,3915.1,42.47339649,3
2019,11,20/11/2019,15395.47,Entertainment,1,28,0.18187168,Desire,948.33,6.159798954,3
2019,10,3/10/2019,9290.04,Entertainment,3,72.6,0.781482103,Desire,5934.68,63.88217919,3
2019,9,14/09/2019,11849.86,Entertainment,4,95.57,0.806507419,Desire,8039.05,67.84088588,3
2019,8,4/08/2019,11394.65,Entertainment,2,51.92,0.455652433,Desire,5404.24,47.42787185,3
2019,7,14/07/2019,7783.18,Entertainment,1,25.2,0.323775115,Desire,1761.24,22.62879697,3
2019,6,2/06/2019,59160.3,Entertainment,1,15,0.025354841,Desire,968.49,1.637060664,3
2019,4,7/04/2019,36185.65,Entertainment,2,44.9,0.124082337,Desire,6109.74,16.88442794,3
2019,3,10/03/2019,33860.19,Entertainment,2,63,0.186059204,Desire,2172.84,6.417093348,3
2019,2,10/02/2019,8229.01,Entertainment,5,65.5,0.795964521,Desire,1178.83,14.32529551,3
2018,10,10/10/2018,6801.5,Entertainment,3,48.96,0.719841211,Desire,2979.52,43.80680732,3
2018,8,23/08/2018,7667.51,Entertainment,1,12,0.156504524,Desire,5947.96,77.57355387,3
2020,7,1/07/2020,13218.79,Fast food restaurants,2,115.94,0.877084816,Desire,4598.86,34.79032498,1
2020,6,12/06/2020,8068.83,Fast food restaurants,1,30,0.371801116,Desire,1768.45,21.91705613,1
2020,2,1/02/2020,8157.21,Fast food restaurants,7,133.93,1.641860391,Desire,6381.31,78.22907587,1
2020,1,18/01/2020,11570.92,Fast food restaurants,6,140.49,1.214164474,Desire,4374.87,37.80918026,1
2019,12,6/12/2019,9217.77,Fast food restaurants,5,103.6,1.123916088,Desire,3915.1,42.47339649,1
2019,11,10/11/2019,15395.47,Fast food restaurants,2,80.9,0.525479248,Desire,948.33,6.159798954,1
2019,10,6/10/2019,9290.04,Fast food restaurants,8,94.5,1.01721844,Desire,5934.68,63.88217919,1
2019,9,14/09/2019,11849.86,Fast food restaurants,6,84.8,0.715620269,Desire,8039.05,67.84088588,1
2019,8,2/08/2019,11394.65,Fast food restaurants,8,47.3,0.41510709,Desire,5404.24,47.42787185,1
2019,7,9/07/2019,7783.18,Fast food restaurants,5,36.3,0.466390344,Desire,1761.24,22.62879697,1
2019,6,5/06/2019,59160.3,Fast food restaurants,4,36.62,0.061899618,Desire,968.49,1.637060664,1
2019,5,3/05/2019,7072.1,Fast food restaurants,3,28.73,0.406244256,Desire,4910.67,69.43722515,1
2019,4,14/04/2019,36185.65,Fast food restaurants,4,85.14,0.23528664,Desire,6109.74,16.88442794,1
2019,3,9/03/2019,33860.19,Fast food restaurants,8,234.22,0.691726774,Desire,2172.84,6.417093348,1
2019,2,4/02/2019,8229.01,Fast food restaurants,8,230.47,2.800701421,Desire,1178.83,14.32529551,1
2019,1,17/01/2019,14402.89,Fast food restaurants,3,28.8,0.199959869,Desire,9676.3,67.18304451,1
2018,12,3/12/2018,7558.02,Fast food restaurants,9,94.2,1.246358173,Desire,3166.63,41.8976134,1
2018,11,3/11/2018,7125.5,Fast food restaurants,9,128.5,1.803382219,Desire,4916.64,69.00063153,1
2018,10,1/10/2018,6801.5,Fast food restaurants,10,229.1,3.368374623,Desire,2979.52,43.80680732,1
2018,9,9/09/2018,7771.21,Fast food restaurants,18,468.47,6.028276163,Desire,3370.38,43.37008008,1
2018,8,14/08/2018,7667.51,Fast food restaurants,4,155.98,2.034297966,Desire,5947.96,77.57355387,1
2020,7,9/07/2020,13218.79,Fees & charges,1,500,3.782494464,Desire,4598.86,34.79032498,0
2020,6,10/06/2020,8068.83,Fees & charges,1,300,3.718011161,Desire,1768.45,21.91705613,0
