YEAR,MONTH,DATE,INCOME,CATEGORY,CAT_TOT
2020,7,2020-07-01,13218.79,Auto & transport,12.5
2020,6,2020-06-08,8068.83,Auto & transport,165.56
2020,5,2020-05-12,10760.91,Auto & transport,62.52
2020,3,2020-03-02,44410.36,Auto & transport,122.54
2020,2,2020-02-01,8157.21,Auto & transport,376.86
2020,1,2020-01-10,11570.92,Auto & transport,51.03
2019,12,2019-12-02,9217.77,Auto & transport,228.35
2019,11,2019-11-02,15395.47,Auto & transport,214.38
2019,10,2019-10-06,9290.04,Auto & transport,313.16
2019,9,2019-09-02,11849.86,Auto & transport,237.62
2019,8,2019-08-01,11394.65,Auto & transport,778.56
2019,7,2019-07-01,7783.18,Auto & transport,475.97
2019,6,2019-06-04,59160.3,Auto & transport,374.49
2019,5,2019-05-01,7072.1,Auto & transport,416.86
2019,4,2019-04-01,36185.65,Auto & transport,455.98
2019,3,2019-03-01,33860.19,Auto & transport,1182.32
2019,2,2019-02-04,8229.01,Auto & transport,515.11
2019,1,2019-01-03,14402.89,Auto & transport,222.78
2018,12,2018-12-03,7558.02,Auto & transport,396.2
2018,11,2018-11-01,7125.5,Auto & transport,575.5
2018,10,2018-10-02,6801.5,Auto & transport,238.56
2018,9,2018-09-03,7771.21,Auto & transport,483.24
2018,8,2018-08-13,7667.51,Auto & transport,376.72
2020,7,2020-07-02,13218.79,Bottleshops,1200
2020,6,2020-06-30,8068.83,Bottleshops,1000
2020,5,2020-05-30,10760.91,Bottleshops,500
2020,4,2020-04-30,24528.98,Bottleshops,400
2020,3,2020-03-10,44410.36,Bottleshops,39
2020,1,2020-01-23,11570.92,Bottleshops,145
2019,12,2019-12-10,9217.77,Bottleshops,84.74
2019,11,2019-11-16,15395.47,Bottleshops,65.9
2019,10,2019-10-18,9290.04,Bottleshops,96.81
2019,9,2019-09-03,11849.86,Bottleshops,72
2019,8,2019-08-22,11394.65,Bottleshops,32
2019,5,2019-05-08,7072.1,Bottleshops,23.8
2019,3,2019-03-04,33860.19,Bottleshops,7.45
2019,2,2019-02-03,8229.01,Bottleshops,69
2019,1,2019-01-22,14402.89,Bottleshops,69.99
2018,12,2018-12-18,7558.02,Bottleshops,69.9
2018,11,2018-11-10,7125.5,Bottleshops,21
2018,9,2018-09-28,7771.21,Bottleshops,49.5
2020,7,2020-07-01,13218.79,Cash Out,3246.06
2020,6,2020-06-13,8068.83,Cash Out,150
2020,5,2020-05-25,10760.91,Cash Out,1150
2020,4,2020-04-07,24528.98,Cash Out,1420
2020,3,2020-03-04,44410.36,Cash Out,1681
2020,2,2020-02-01,8157.21,Cash Out,1217
2020,1,2020-01-07,11570.92,Cash Out,4000
2019,12,2019-12-21,9217.77,Cash Out,1100
2019,10,2019-10-02,9290.04,Cash Out,3781.45
2019,9,2019-09-14,11849.86,Cash Out,3200.07
2019,8,2019-08-04,11394.65,Cash Out,3125
2019,7,2019-07-02,7783.18,Cash Out,1200
2019,6,2019-06-01,59160.3,Cash Out,400
2019,5,2019-05-05,7072.1,Cash Out,650
2019,4,2019-04-01,36185.65,Cash Out,5581.86
2019,3,2019-03-06,33860.19,Cash Out,807.5
2019,2,2019-02-15,8229.01,Cash Out,555
2019,1,2019-01-21,14402.89,Cash Out,4480
2018,12,2018-12-09,7558.02,Cash Out,640
2018,11,2018-11-01,7125.5,Cash Out,450
2018,10,2018-10-07,6801.5,Cash Out,2401.49
2018,9,2018-09-01,7771.21,Cash Out,1210
2018,8,2018-08-13,7667.51,Cash Out,1780
2020,7,2020-07-31,13218.79,Chemists,85
2020,6,2020-06-01,8068.83,Chemists,30.44
2020,5,2020-05-11,10760.91,Chemists,208.94
2020,3,2020-03-16,44410.36,Chemists,73.95
2020,2,2020-02-14,8157.21,Chemists,75.6
2019,11,2019-11-08,15395.47,Chemists,425.4
2019,10,2019-10-11,9290.04,Chemists,52.89
2019,9,2019-09-11,11849.86,Chemists,30.98
2019,8,2019-08-08,11394.65,Chemists,189.47
2019,7,2019-07-17,7783.18,Chemists,152.96
2019,4,2019-04-01,36185.65,Chemists,67.37
2019,3,2019-03-01,33860.19,Chemists,6.99
2018,12,2018-12-01,7558.02,Chemists,25.97
2018,11,2018-11-07,7125.5,Chemists,51.19
2018,9,2018-09-11,7771.21,Chemists,50
2018,8,2018-08-29,7667.51,Chemists,10.98
2020,7,2020-07-11,13218.79,Education,22.75
2020,6,2020-06-01,8068.83,Education,35.64
2020,5,2020-05-21,10760.91,Education,4189
2020,4,2020-04-05,24528.98,Education,794.95
2020,3,2020-03-05,44410.36,Education,83.8
2020,2,2020-02-21,8157.21,Education,4174.98
2020,1,2020-01-22,11570.92,Education,24.22
2019,11,2019-11-01,15395.47,Education,53.82
2019,10,2019-10-13,9290.04,Education,4.98
2019,9,2019-09-17,11849.86,Education,4072
2019,7,2019-07-05,7783.18,Education,60.2
2019,6,2019-06-10,59160.3,Education,21.19
2019,5,2019-05-08,7072.1,Education,3869.24
2019,4,2019-04-14,36185.65,Education,9
2019,3,2019-03-02,33860.19,Education,99.67
2019,2,2019-02-02,8229.01,Education,67.7
2019,1,2019-01-02,14402.89,Education,3516.16
2018,12,2018-12-02,7558.02,Education,67.26
2018,11,2018-11-02,7125.5,Education,142.32
2018,10,2018-10-02,6801.5,Education,94
2018,9,2018-09-02,7771.21,Education,187.92
2018,8,2018-08-17,7667.51,Education,3374.5
2020,6,2020-06-13,8068.83,Entertainment,7.49
2019,12,2019-12-13,9217.77,Entertainment,155.88
2019,11,2019-11-20,15395.47,Entertainment,28
2019,10,2019-10-03,9290.04,Entertainment,72.6
2019,9,2019-09-14,11849.86,Entertainment,95.57
2019,8,2019-08-04,11394.65,Entertainment,51.92
2019,7,2019-07-14,7783.18,Entertainment,25.2
2019,6,2019-06-02,59160.3,Entertainment,15
2019,4,2019-04-07,36185.65,Entertainment,44.9
2019,3,2019-03-10,33860.19,Entertainment,63
2019,2,2019-02-10,8229.01,Entertainment,65.5
2018,10,2018-10-10,6801.5,Entertainment,48.96
2018,8,2018-08-23,7667.51,Entertainment,12
2020,7,2020-07-01,13218.79,Fast food restaurants,115.94
2020,6,2020-06-12,8068.83,Fast food restaurants,30
2020,2,2020-02-01,8157.21,Fast food restaurants,133.93
2020,1,2020-01-18,11570.92,Fast food restaurants,140.49
2019,12,2019-12-06,9217.77,Fast food restaurants,103.6
2019,11,2019-11-10,15395.47,Fast food restaurants,80.9
2019,10,2019-10-06,9290.04,Fast food restaurants,94.5
2019,9,2019-09-14,11849.86,Fast food restaurants,84.8
2019,8,2019-08-02,11394.65,Fast food restaurants,47.3
2019,7,2019-07-09,7783.18,Fast food restaurants,36.3
2019,6,2019-06-05,59160.3,Fast food restaurants,36.62
2019,5,2019-05-03,7072.1,Fast food restaurants,28.73
2019,4,2019-04-14,36185.65,Fast food restaurants,85.14
2019,3,2019-03-09,33860.19,Fast food restaurants,234.22
2019,2,2019-02-04,8229.01,Fast food restaurants,230.47
2019,1,2019-01-17,14402.89,Fast food restaurants,28.8
2018,12,2018-12-03,7558.02,Fast food restaurants,94.2
2018,11,2018-11-03,7125.5,Fast food restaurants,128.5
2018,10,2018-10-01,6801.5,Fast food restaurants,229.1
2018,9,2018-09-09,7771.21,Fast food restaurants,468.47
2018,8,2018-08-14,7667.51,Fast food restaurants,155.98
2020,7,2020-07-09,13218.79,Fees & charges,500
2020,6,2020-06-10,8068.83,Fees & charges,300
2020,5,2020-05-09,10760.91,Fees & charges,400
2020,2,2020-02-10,8157.21,Fees & charges,30.72
2020,1,2020-01-01,11570.92,Fees & charges,0.51
2019,12,2019-12-01,9217.77,Fees & charges,10.28
2019,11,2019-11-01,15395.47,Fees & charges,10.07
2019,9,2019-09-06,11849.86,Fees & charges,4.03
2019,5,2019-05-08,7072.1,Fees & charges,7.93
2019,4,2019-04-01,36185.65,Fees & charges,0.33
2019,3,2019-03-02,33860.19,Fees & charges,12.99
2019,2,2019-02-02,8229.01,Fees & charges,2.03
2019,1,2019-01-02,14402.89,Fees & charges,2.4
2018,12,2018-12-02,7558.02,Fees & charges,4.52
2018,11,2018-11-02,7125.5,Fees & charges,2.95
2018,10,2018-10-02,6801.5,Fees & charges,5.68
2018,9,2018-09-01,7771.21,Fees & charges,2.24
2018,8,2018-08-21,7667.51,Fees & charges,10.3
2020,7,2020-07-21,13218.79,Gifts & donations,5.5
2020,3,2020-03-03,44410.36,Gifts & donations,180
2020,2,2020-02-05,8157.21,Gifts & donations,105.58
2019,10,2019-10-14,9290.04,Gifts & donations,48.98
2019,9,2019-09-01,11849.86,Gifts & donations,10
2019,8,2019-08-13,11394.65,Gifts & donations,12
2019,6,2019-06-03,59160.3,Gifts & donations,179
2019,5,2019-05-24,7072.1,Gifts & donations,28
2019,4,2019-04-05,36185.65,Gifts & donations,8
2019,3,2019-03-06,33860.19,Gifts & donations,85
2019,2,2019-02-15,8229.01,Gifts & donations,46.45
2018,12,2018-12-31,7558.02,Gifts & donations,37
2018,11,2018-11-06,7125.5,Gifts & donations,85
2018,10,2018-10-19,6801.5,Gifts & donations,5
2018,9,2018-09-09,7771.21,Gifts & donations,8
2020,7,2020-07-01,13218.79,Grocery & supermarkets,899.42
2020,6,2020-06-01,8068.83,Grocery & supermarkets,743.94
2020,5,2020-05-03,10760.91,Grocery & supermarkets,907.91
2020,4,2020-04-08,24528.98,Grocery & supermarkets,497.91
2020,3,2020-03-01,44410.36,Grocery & supermarkets,1180.15
2020,2,2020-02-01,8157.21,Grocery & supermarkets,736
2020,1,2020-01-21,11570.92,Grocery & supermarkets,178.14
2019,12,2019-12-02,9217.77,Grocery & supermarkets,276.61
2019,11,2019-11-01,15395.47,Grocery & supermarkets,753.02
2019,10,2019-10-01,9290.04,Grocery & supermarkets,611.35
2019,9,2019-09-01,11849.86,Grocery & supermarkets,740.29
2019,8,2019-08-01,11394.65,Grocery & supermarkets,829.67
2019,7,2019-07-01,7783.18,Grocery & supermarkets,804.08
2019,6,2019-06-01,59160.3,Grocery & supermarkets,911.5
2019,5,2019-05-01,7072.1,Grocery & supermarkets,905.2
2019,4,2019-04-01,36185.65,Grocery & supermarkets,789.1
2019,3,2019-03-01,33860.19,Grocery & supermarkets,917.49
2019,2,2019-02-03,8229.01,Grocery & supermarkets,737.02
2019,1,2019-01-02,14402.89,Grocery & supermarkets,311.17
2018,12,2018-12-01,7558.02,Grocery & supermarkets,683.29
2018,11,2018-11-01,7125.5,Grocery & supermarkets,829.36
2018,10,2018-10-03,6801.5,Grocery & supermarkets,650.08
2018,9,2018-09-01,7771.21,Grocery & supermarkets,751.88
2018,8,2018-08-13,7667.51,Grocery & supermarkets,520.11
2020,2,2020-02-13,8157.21,"Hotels, motels & resorts",597.67
2019,10,2019-10-25,9290.04,"Hotels, motels & resorts",1488.45
2019,3,2019-03-02,33860.19,"Hotels, motels & resorts",365.41
2019,2,2019-02-15,8229.01,"Hotels, motels & resorts",19.75
2019,1,2019-01-16,14402.89,"Hotels, motels & resorts",1078.85
2018,8,2018-08-14,7667.51,"Hotels, motels & resorts",457.33
2020,7,2020-07-01,13218.79,Insurance,404.95
2020,6,2020-06-01,8068.83,Insurance,572.2
2020,5,2020-05-01,10760.91,Insurance,431.73
2020,4,2020-04-02,24528.98,Insurance,508.69
2020,3,2020-03-02,44410.36,Insurance,1197.96
