DATE,CLUSTER,VALUE
2018-09-01,Cluster 3,43.37
2018-10-01,Cluster 3,43.81
2018-11-01,Cluster 1,69.00
2018-12-01,Cluster 3,41.90
2019-01-01,Cluster 1,67.18
2019-02-01,Cluster 2,14.33
2019-03-01,Cluster 2,6.42
2019-04-01,Cluster 2,16.88
2019-05-01,Cluster 1,69.44
2019-06-01,Cluster 2,1.64
2019-07-01,Cluster 2,22.63
2019-08-01,Cluster 3,47.43
2019-09-01,Cluster 1,67.84
2019-10-01,Cluster 1,63.88
2019-11-01,Cluster 2,6.16
2019-12-01,Cluster 3,42.47
2020-01-01,Cluster 3,37.81
2020-02-01,Cluster 1,78.23
2020-03-01,Cluster 2,4.97
2020-04-01,Cluster 2,10.58
2020-05-01,Cluster 1,58.36
2020-06-01,Cluster 2,21.92
2020-07-01,Cluster 3,34.79
