YEAR,MONTH,DATE,INCOME
2020,7,2020-07-01,13218.79
2020,7,2020-07-01,13218.79
2020,7,2020-07-01,13218.79
2020,6,2020-06-01,8068.83
2020,6,2020-06-01,8068.83
2020,6,2020-06-01,8068.83
2020,5,2020-05-01,10760.91
2020,5,2020-05-01,10760.91
2020,5,2020-05-01,10760.91
2020,4,2020-04-01,24528.98
2020,4,2020-04-01,24528.98
2020,4,2020-04-01,24528.98
2020,3,2020-03-01,44410.36
2020,3,2020-03-01,44410.36
2020,3,2020-03-01,44410.36
2020,2,2020-02-01,8157.21
2020,2,2020-02-01,8157.21
2020,2,2020-02-01,8157.21
2020,1,2020-01-01,11570.92
2020,1,2020-01-01,11570.92
2020,1,2020-01-01,11570.92
2019,12,2019-12-01,9217.77
2019,12,2019-12-01,9217.77
2019,12,2019-12-01,9217.77
2019,11,2019-11-01,15395.47
2019,11,2019-11-01,15395.47
2019,11,2019-11-01,15395.47
2019,10,2019-10-01,9290.04
2019,10,2019-10-01,9290.04
2019,10,2019-10-01,9290.04
2019,9,2019-09-01,11849.86
2019,9,2019-09-01,11849.86
2019,9,2019-09-01,11849.86
2019,8,2019-08-01,11394.65
2019,8,2019-08-01,11394.65
2019,8,2019-08-01,11394.65
2019,7,2019-07-01,7783.18
2019,7,2019-07-01,7783.18
2019,7,2019-07-01,7783.18
2019,6,2019-06-01,59160.3
2019,6,2019-06-01,59160.3
2019,6,2019-06-01,59160.3
2019,5,2019-05-01,7072.1
2019,5,2019-05-01,7072.1
2019,5,2019-05-01,7072.1
2019,4,2019-04-01,36185.65
2019,4,2019-04-01,36185.65
2019,4,2019-04-01,36185.65
2019,3,2019-03-01,33860.19
2019,3,2019-03-01,33860.19
2019,3,2019-03-01,33860.19
2019,2,2019-02-01,8229.01
2019,2,2019-02-01,8229.01
2019,2,2019-02-01,8229.01
2019,1,2019-01-01,14402.89
2019,1,2019-01-01,14402.89
2019,1,2019-01-01,14402.89
2018,12,2018-12-01,7558.02
2018,12,2018-12-01,7558.02
2018,12,2018-12-01,7558.02
2018,11,2018-11-01,7125.5
2018,11,2018-11-01,7125.5
2018,11,2018-11-01,7125.5
2018,10,2018-10-01,6801.5
2018,10,2018-10-01,6801.5
2018,10,2018-10-01,6801.5
2018,9,2018-09-01,7771.21
2018,9,2018-09-01,7771.21
2018,9,2018-09-01,7771.21
2018,8,2018-08-01,7667.51
2018,8,2018-08-01,7667.51
2018,8,2018-08-01,7667.51
