DATE,CLUSTER,CAT_TOT,VALUE
2018-08-01,Utilities,89.99,1
2018-09-01,Utilities,1157.05,4
2018-10-01,Utilities,366.25,2
2018-11-01,Utilities,366.25,2
2018-12-01,Utilities,1130.49,5
2019-01-01,Utilities,366.25,2
2019-02-01,Utilities,381.15,3
2019-03-01,Utilities,671.61,4
2019-04-01,Utilities,480.38,2
2019-05-01,Utilities,459.65,3
2019-06-01,Utilities,1019.97,5
2019-07-01,Utilities,1389.41,4
2019-08-01,Utilities,90,1
2019-09-01,Utilities,1216.35,5
2019-10-01,Utilities,609.07,3
2019-11-01,Utilities,386.87,2
2019-12-01,Utilities,1048.53,5
2020-01-01,Utilities,386.87,2
2020-02-01,Utilities,441.72,4
2020-03-01,Utilities,704.53,4
2020-04-01,Utilities,493.23,2
2020-05-01,Utilities,483.82,3
2020-06-01,Utilities,1995.82,8
2020-07-01,Utilities,386.87,2
2018-09-01,Travel,1192.26,1
2018-11-01,Travel,3869,1
2018-12-01,Travel,1896,1
2019-01-01,Travel,325.63,3
2019-08-01,Travel,1823.44,3
2019-09-01,Travel,35,1
2019-10-01,Travel,39,1
2019-12-01,Travel,2416.77,2
2020-06-01,Travel,50.6,2
2018-08-01,Subscription,29.48,3
2018-09-01,Subscription,19.48,2
2018-10-01,Subscription,19.48,2
2018-11-01,Subscription,29.48,3
2018-12-01,Subscription,19.48,2
2019-01-01,Subscription,83.48,4
2019-02-01,Subscription,19.48,2
2019-03-01,Subscription,19.48,2
2019-04-01,Subscription,29.48,3
2019-05-01,Subscription,74.97,4
2019-06-01,Subscription,44.48,3
2019-07-01,Subscription,44.48,4
2019-08-01,Subscription,19.48,2
2019-09-01,Subscription,19.48,2
2019-10-01,Subscription,29.48,3
2019-11-01,Subscription,29.78,3
2019-12-01,Subscription,21.48,2
2020-01-01,Subscription,31.48,3
2020-02-01,Subscription,21.48,2
2020-03-01,Subscription,31.98,3
2020-04-01,Subscription,21.48,2
2020-05-01,Subscription,21.48,2
2020-06-01,Subscription,26.48,3
2020-07-01,Subscription,21.48,2
2018-08-01,Retail Shopping,87.47,5
2018-09-01,Retail Shopping,149.16,10
2018-10-01,Retail Shopping,75.91,6
2018-11-01,Retail Shopping,77.51,4
2018-12-01,Retail Shopping,325.27,6
2019-01-01,Retail Shopping,79.99,3
2019-02-01,Retail Shopping,47.75,3
2019-03-01,Retail Shopping,317.32,10
2019-04-01,Retail Shopping,115.7,8
2019-05-01,Retail Shopping,139.53,6
2019-06-01,Retail Shopping,170.95,8
2019-07-01,Retail Shopping,145.86,11
2019-08-01,Retail Shopping,122.4,7
2019-09-01,Retail Shopping,306.06,14
2019-10-01,Retail Shopping,59,4
2019-11-01,Retail Shopping,444.58,11
2020-02-01,Retail Shopping,63,2
2020-03-01,Retail Shopping,68.48,5
2020-04-01,Retail Shopping,59,1
2020-05-01,Retail Shopping,19.97,1
2020-06-01,Retail Shopping,54,3
2020-07-01,Retail Shopping,55.13,4
2018-08-01,Restaurants & dining,40.9,2
2018-09-01,Restaurants & dining,83.35,3
2018-10-01,Restaurants & dining,99.9,4
2018-11-01,Restaurants & dining,110.88,5
2018-12-01,Restaurants & dining,13,2
2019-01-01,Restaurants & dining,11,1
2019-02-01,Restaurants & dining,55.7,4
2019-03-01,Restaurants & dining,160.8,7
2019-04-01,Restaurants & dining,235.33,7
2019-05-01,Restaurants & dining,88.47,5
2019-06-01,Restaurants & dining,101.25,7
2019-07-01,Restaurants & dining,249.2,9
2019-08-01,Restaurants & dining,170.7,8
2019-09-01,Restaurants & dining,140.04,8
2019-10-01,Restaurants & dining,219.43,7
2019-11-01,Restaurants & dining,235.28,7
2019-12-01,Restaurants & dining,22.35,2
2020-01-01,Restaurants & dining,33.17,3
2020-02-01,Restaurants & dining,36.95,3
2020-03-01,Restaurants & dining,123.4,5
2020-06-01,Restaurants & dining,114.24,3
2020-07-01,Restaurants & dining,23,3
2018-08-01,Miscellaneous,129,2
2018-10-01,Miscellaneous,22.25,1
2018-11-01,Miscellaneous,11.25,1
2018-12-01,Miscellaneous,184.98,3
2019-01-01,Miscellaneous,27.98,1
2019-02-01,Miscellaneous,269.3,6
2019-03-01,Miscellaneous,152.85,2
2019-04-01,Miscellaneous,106.43,3
2019-05-01,Miscellaneous,287.47,3
2019-06-01,Miscellaneous,293.44,2
2019-07-01,Miscellaneous,454.65,5
2019-08-01,Miscellaneous,1395.03,7
2019-09-01,Miscellaneous,642.51,1
2019-10-01,Miscellaneous,44.88,1
2019-11-01,Miscellaneous,450.45,7
2019-12-01,Miscellaneous,8.92,1
2020-01-01,Miscellaneous,165,1
2020-02-01,Miscellaneous,112.5,1
2020-03-01,Miscellaneous,32.32,2
2020-06-01,Miscellaneous,151.77,3
2020-07-01,Miscellaneous,95.96,3
2018-08-01,Loan Pay,-4714.2,4
2018-09-01,Loan Pay,3200,4
2018-10-01,Loan Pay,4000,5
2018-11-01,Loan Pay,3200,4
2018-12-01,Loan Pay,4000,5
2019-01-01,Loan Pay,3200,4
2019-02-01,Loan Pay,3410,4
2019-03-01,Loan Pay,5086.07,5
2019-04-01,Loan Pay,4350,5
2019-05-01,Loan Pay,3480,4
2019-06-01,Loan Pay,3480,4
2019-07-01,Loan Pay,4350,5
2019-08-01,Loan Pay,3480,4
2019-09-01,Loan Pay,4350,5
2019-10-01,Loan Pay,3480,4
2019-11-01,Loan Pay,6780,5
2019-12-01,Loan Pay,4350,5
2020-01-01,Loan Pay,180,5
2020-02-01,Loan Pay,3480,4
2020-03-01,Loan Pay,41470,9
2020-04-01,Loan Pay,16360,9
2020-05-01,Loan Pay,5480,6
2020-06-01,Loan Pay,3490,7
2020-07-01,Loan Pay,7480,9
2018-08-01,Investments,500,1
2018-09-01,Investments,500,1
2018-10-01,Investments,500,2
2018-11-01,Investments,500,2
2018-12-01,Investments,500,2
2019-01-01,Investments,500,2
2019-02-01,Investments,430,2
2019-03-01,Investments,25200.42,3
2019-04-01,Investments,430,2
2019-05-01,Investments,60430,3
2019-06-01,Investments,50430,5
2019-07-01,Investments,10430,3
2019-08-01,Investments,430,2
2019-09-01,Investments,430,2
2019-10-01,Investments,430,2
2019-11-01,Investments,200,1
2019-12-01,Investments,200,1
2020-01-01,Investments,200,1
2020-02-01,Investments,200,1
2020-03-01,Investments,200,1
2020-04-01,Investments,200,1
2020-05-01,Investments,200,1
2020-06-01,Investments,200,1
2020-07-01,Investments,200,1
2018-08-01,Insurance,76.21,1
2018-09-01,Insurance,361.74,3
2018-10-01,Insurance,514.16,5
2018-11-01,Insurance,437.95,4
2018-12-01,Insurance,437.95,4
2019-01-01,Insurance,437.95,4
2019-02-01,Insurance,415.47,4
2019-03-01,Insurance,437.22,4
2019-04-01,Insurance,523.64,5
2019-05-01,Insurance,448.43,4
2019-06-01,Insurance,300.06,2
2019-07-01,Insurance,525.05,5
2019-08-01,Insurance,598.85,5
2019-09-01,Insurance,612.58,5
2019-10-01,Insurance,580.4,5
2019-11-01,Insurance,503.44,4
2019-12-01,Insurance,657.36,6
2020-01-01,Insurance,580.4,5
2020-02-01,Insurance,509.22,4
2020-03-01,Insurance,1197.96,7
2020-04-01,Insurance,508.69,4
2020-05-01,Insurance,431.73,3
2020-06-01,Insurance,572.2,5
2020-07-01,Insurance,404.95,3
2018-08-01,"Hotels, motels & resorts",457.33,2
2019-01-01,"Hotels, motels & resorts",1078.85,1
2019-02-01,"Hotels, motels & resorts",19.75,1
2019-03-01,"Hotels, motels & resorts",365.41,1
2019-10-01,"Hotels, motels & resorts",1488.45,1
2020-02-01,"Hotels, motels & resorts",597.67,1
2018-08-01,Grocery & supermarkets,520.11,31
2018-09-01,Grocery & supermarkets,751.88,49
2018-10-01,Grocery & supermarkets,650.08,45
2018-11-01,Grocery & supermarkets,829.36,49
2018-12-01,Grocery & supermarkets,683.29,30
2019-01-01,Grocery & supermarkets,311.17,18
2019-02-01,Grocery & supermarkets,737.02,41
2019-03-01,Grocery & supermarkets,917.49,50
2019-04-01,Grocery & supermarkets,789.1,47
