date,Airbus,Boeing
31/07/2000,0,0
31/08/2000,-0.884,9.8912
29/09/2000,9.6685,32.1383
31/10/2000,32.5967,38.9245
30/11/2000,33.1492,41.4853
29/12/2000,30.7182,35.2113
31/01/2001,27.0718,19.8464
28/02/2001,24.3094,27.4264
30/03/2001,16.0773,14.1306
30/04/2001,13.2597,26.6069
31/05/2001,28.2873,28.8399
29/06/2001,20.1657,13.9052
31/07/2001,25.4144,19.9078
31/08/2001,3.9779,4.8912
28/09/2001,-34.5304,-31.37
31/10/2001,-28.7293,-33.2138
30/11/2001,-26.2983,-28.0922
31/12/2001,-24.6409,-20.5531
31/01/2002,-28.1768,-16.1076
28/02/2002,-19.5028,-5.8438
29/03/2002,-10.7182,-1.1524
30/04/2002,-8.1768,-8.63
31/05/2002,-3.9227,-12.6248
28/06/2002,-13.9779,-7.8105
31/07/2002,-11.326,-14.9398
30/08/2002,-24.6961,-24.0563
30/09/2002,-40.6077,-30.0794
31/10/2002,-38.3425,-39.0525
29/11/2002,-29.337,-30.2433
31/12/2002,-45.5801,-32.4149
31/01/2003,-46.4088,-35.283
28/02/2003,-55.4144,-43.5391
31/03/2003,-61.8785,-48.6607
30/04/2003,-53.9779,-44.1127
30/05/2003,-47.6796,-37.1677
30/06/2003,-40.9945,-29.6901
31/07/2003,-21.7127,-32.1485
29/08/2003,-20.442,-23.4008
30/09/2003,-26.8508,-29.6697
31/10/2003,-3.3149,-21.1472
28/11/2003,0.5525,-21.3521
31/12/2003,4.1436,-13.6697
30/01/2004,-3.5359,-14.4686
27/02/2004,2.8177,-11.1498
31/03/2004,-3.0387,-15.8617
30/04/2004,16.5746,-12.5429
31/05/2004,12.4309,-6.1716
30/06/2004,26.4088,4.6658
30/07/2004,26.5193,3.9693
31/08/2004,18.674,6.9808
30/09/2004,17.8453,5.7516
29/10/2004,23.4807,2.2279
30/11/2004,25.6906,9.7465
31/12/2004,18.1768,6.0589
31/01/2005,29.558,3.662
28/02/2005,31.1602,12.6146
31/03/2005,27.4033,19.7644
29/04/2005,21.326,21.936
31/05/2005,32.7624,30.9091
30/06/2005,45.5801,35.2113
29/07/2005,53.2044,35.2318
31/08/2005,51.1602,37.3009
30/09/2005,62.9834,39.2061
31/10/2005,59.6685,32.4251
30/11/2005,73.6464,39.6978
30/12/2005,76.2431,43.8976
31/01/2006,78.1768,39.9437
28/02/2006,69.9447,48.9168
31/03/2006,92.0994,59.6517
28/04/2006,72.8177,70.9603
31/05/2006,53.5912,70.5506
30/06/2006,24.0884,67.8054
31/07/2006,24.5856,58.6069
